Grand Prix,Driver,Car,Time,Year
Great Britain,Nino FarinaFAR,Alfa Romeo,1:50.600,1950
Monaco,Juan Manuel FangioFAN,Alfa Romeo,1:51.000,1950
Indianapolis,Johnnie ParsonsPAR,Kurtis Kraft Offenhauser,,1950
Switzerland,Nino FarinaFAR,Alfa Romeo,2:41.600,1950
Belgium,Nino FarinaFAR,Alfa Romeo,4:34.100,1950
France,Juan Manuel FangioFAN,Alfa Romeo,2:35.600,1950
Italy,Juan Manuel FangioFAN,Alfa Romeo,2:00.000,1950
Switzerland,Juan Manuel FangioFAN,Alfa Romeo,2:51.100,1951
Indianapolis,Lee WallardWAL,Kurtis Kraft Offenhauser,1:07.260,1951
Belgium,Juan Manuel FangioFAN,Alfa Romeo,4:22.100,1951
France,Juan Manuel FangioFAN,Alfa Romeo,2:27.800,1951
Great Britain,Nino FarinaFAR,Alfa Romeo,1:44.000,1951
Germany,Juan Manuel FangioFAN,Alfa Romeo,9:55.800,1951
Italy,Nino FarinaFAR,Alfa Romeo,1:56.500,1951
Spain,Juan Manuel FangioFAN,Alfa Romeo,2:16.930,1951
Switzerland,Piero TaruffiTAR,Ferrari,2:49.100,1952
Indianapolis,Bill Vukovich VUK,Kurtis Kraft Offenhauser,1:06.600,1952
Belgium,Alberto AscariASC,Ferrari,4:55.000,1952
France,Alberto AscariASC,Ferrari,2:17.300,1952
Great Britain,Alberto AscariASC,Ferrari,1:52.000,1952
Germany,Alberto AscariASC,Ferrari,10:05.100,1952
Netherlands,Alberto AscariASC,Ferrari,1:49.800,1952
Italy,Alberto AscariASC,Ferrari,2:06.100,1952
Argentina,Alberto AscariASC,Ferrari,1:48.400,1953
Indianapolis,Bill Vukovich VUK,Kurtis Kraft Offenhauser,1:06.240,1953
Netherlands,Luigi VilloresiVIL,Ferrari,1:52.800,1953
Belgium,Jose Froilan GonzalezGON,Maserati,4:34.000,1953
France,Juan Manuel FangioFAN,Maserati,2:41.100,1953
Great Britain,Alberto AscariASC,Ferrari,1:50.000,1953
Germany,Alberto AscariASC,Ferrari,9:56.000,1953
Switzerland,Alberto AscariASC,Ferrari,2:41.300,1953
Italy,Juan Manuel FangioFAN,Maserati,2:04.500,1953
Argentina,Jose Froilan GonzalezGON,Ferrari,1:48.200,1954
Indianapolis,Jack McGrathMCG,Kurtis Kraft Offenhauser,1:04.040,1954
Belgium,Juan Manuel FangioFAN,Maserati,4:25.500,1954
France,Hans HerrmannHER,Mercedes-Benz,2:32.900,1954
Great Britain,Alberto AscariASC,Maserati,1:50.000,1954
Germany,Karl KlingKLI,Mercedes-Benz,9:55.100,1954
Switzerland,Juan Manuel FangioFAN,Mercedes-Benz,2:39.700,1954
Italy,Jose Froilan GonzalezGON,Ferrari,2:00.800,1954
Spain,Alberto AscariASC,Lancia,2:20.400,1954
Argentina,Juan Manuel FangioFAN,Mercedes-Benz,1:48.300,1955
Monaco,Juan Manuel FangioFAN,Mercedes-Benz,1:42.400,1955
Indianapolis,Bill Vukovich VUK,Kurtis Kraft Offenhauser,1:03.670,1955
Belgium,Juan Manuel FangioFAN,Mercedes-Benz,4:20.600,1955
Netherlands,Roberto MieresMIE,Maserati,1:40.900,1955
Great Britain,Stirling MossMOS,Mercedes-Benz,2:00.400,1955
Italy,Stirling MossMOS,Mercedes-Benz,2:46.900,1955
Argentina,Juan Manuel FangioFAN,Ferrari,1:45.300,1956
Monaco,Juan Manuel FangioFAN,Ferrari,1:44.400,1956
Indianapolis,Paul RussoRUS,Kurtis Kraft Novi,1:02.320,1956
Belgium,Stirling MossMOS,Maserati,4:14.700,1956
France,Juan Manuel FangioFAN,Ferrari,2:25.800,1956
Great Britain,Stirling MossMOS,Maserati,1:43.200,1956
Germany,Juan Manuel FangioFAN,Ferrari,9:41.600,1956
Italy,Stirling MossMOS,Maserati,2:45.500,1956
Argentina,Stirling MossMOS,Maserati,1:44.700,1957
Monaco,Juan Manuel FangioFAN,Maserati,1:45.600,1957
Indianapolis,Jim RathmannRAT,Epperly Offenhauser,1:02.750,1957
France,Luigi MussoMUS,Ferrari,2:22.400,1957
Great Britain,Stirling MossMOS,Vanwall,1:59.200,1957
Germany,Juan Manuel FangioFAN,Maserati,9:17.400,1957
Pescara,Stirling MossMOS,Vanwall,9:44.600,1957
Italy,Tony BrooksBRO,Vanwall,1:43.700,1957
Argentina,Juan Manuel FangioFAN,Maserati,1:41.800,1958
Monaco,Mike HawthornHAW,Ferrari,1:40.600,1958
Netherlands,Stirling MossMOS,Vanwall,1:37.600,1958
Indianapolis,Tony BettenhausenBET,Epperly Offenhauser,1:02.370,1958
Belgium,Mike HawthornHAW,Ferrari,3:58.300,1958
France,Mike HawthornHAW,Ferrari,2:24.900,1958
Great Britain,Mike HawthornHAW,Ferrari,1:40.800,1958
Germany,Stirling MossMOS,Vanwall,9:09.200,1958
Portugal,Mike HawthornHAW,Ferrari,2:32.270,1958
Italy,Phil HillHIL,Ferrari,1:42.900,1958
Morocco,Stirling MossMOS,Vanwall,2:22.500,1958
Monaco,Jack BrabhamBRA,Cooper Climax,1:40.400,1959
Indianapolis,Johnny ThomsonTHO,Lesovsky Offenhauser,1:01.890,1959
Netherlands,Stirling MossMOS,Cooper Climax,1:36.700,1959
France,Stirling MossMOS,BRM,2:22.800,1959
Great Britain,Stirling MossMOS,BRM,1:57.000,1959
Germany,Tony BrooksBRO,Ferrari,2:04.500,1959
Portugal,Stirling MossMOS,Cooper Climax,2:05.070,1959
Italy,Phil HillHIL,Ferrari,1:40.400,1959
United States,Maurice TrintignantTRI,Cooper Climax,3:05.000,1959
Argentina,Stirling MossMOS,Cooper Climax,1:38.900,1960
Monaco,Bruce McLarenMCL,Lotus Climax,1:36.200,1960
Indianapolis,Jim RathmannRAT,Watson Offenhauser,1:01.590,1960
Netherlands,Stirling MossMOS,Lotus Climax,1:33.800,1960
Belgium,Phil HillHIL,Ferrari,3:51.900,1960
France,Jack BrabhamBRA,Cooper Climax,2:17.500,1960
Great Britain,Graham HillHIL,BRM,1:34.400,1960
Portugal,John SurteesSUR,Lotus Climax,2:27.530,1960
Italy,Phil HillHIL,Ferrari,2:43.600,1960
United States,Jack BrabhamBRA,Cooper Climax,1:56.300,1960
Monaco,Richie GintherGIN,Ferrari,1:36.300,1961
Netherlands,Jim ClarkCLA,Lotus Climax,1:35.500,1961
Belgium,Richie GintherGIN,Ferrari,3:59.800,1961
France,Phil HillHIL,Ferrari,2:27.100,1961
Great Britain,Tony BrooksBRO,BRM Climax,1:57.800,1961
Germany,Phil HillHIL,Ferrari,8:57.800,1961
Italy,Giancarlo BaghettiBAG,Ferrari,2:48.400,1961
United States,Jack BrabhamBRA,Cooper Climax,1:18.200,1961
Netherlands,Bruce McLarenMCL,Cooper Climax,1:34.400,1962
Monaco,Jim ClarkCLA,Lotus Climax,1:35.500,1962
Belgium,Jim ClarkCLA,Lotus Climax,3:55.600,1962
France,Graham HillHIL,BRM,2:16.900,1962
Great Britain,Jim ClarkCLA,Lotus Climax,1:55.000,1962
Germany,Graham HillHIL,BRM,10:12.200,1962
Italy,Graham HillHIL,BRM,1:42.300,1962
United States,Jim ClarkCLA,Lotus Climax,1:15.000,1962
South Africa,Jim ClarkCLA,Lotus Climax,1:31.000,1962
Monaco,John SurteesSUR,Ferrari,1:34.500,1963
Belgium,Jim ClarkCLA,Lotus Climax,3:58.100,1963
Netherlands,Jim ClarkCLA,Lotus Climax,1:33.700,1963
France,Jim ClarkCLA,Lotus Climax,2:21.600,1963
Great Britain,John SurteesSUR,Ferrari,1:36.000,1963
Germany,John SurteesSUR,Ferrari,8:47.000,1963
Italy,Jim ClarkCLA,Lotus Climax,1:38.900,1963
United States,Jim ClarkCLA,Lotus Climax,1:14.500,1963
Mexico,Jim ClarkCLA,Lotus Climax,1:58.100,1963
South Africa,Dan GurneyGUR,Brabham Climax,1:29.100,1963
Monaco,Graham HillHIL,BRM,1:33.900,1964
Netherlands,Jim ClarkCLA,Lotus Climax,1:32.800,1964
Belgium,Dan GurneyGUR,Brabham Ford,3:49.200,1964
France,Jack BrabhamBRA,Brabham Ford,2:11.400,1964
Great Britain,Jim ClarkCLA,Lotus Climax,1:38.800,1964
Germany,John SurteesSUR,Ferrari,8:39.000,1964
Austria,Dan GurneyGUR,Brabham Ford,1:10.560,1964
Italy,John SurteesSUR,Ferrari,1:38.800,1964
United States,Jim ClarkCLA,Lotus Climax,1:12.700,1964
Mexico,Jim ClarkCLA,Lotus Climax,1:58.370,1964
South Africa,Jim ClarkCLA,Lotus Climax,1:27.600,1965
Monaco,Graham HillHIL,BRM,1:31.700,1965
Belgium,Jim ClarkCLA,Lotus Climax,4:12.900,1965
France,Jim ClarkCLA,Lotus Climax,3:18.900,1965
Great Britain,Graham HillHIL,BRM,1:32.200,1965
Netherlands,Jim ClarkCLA,Lotus Climax,1:30.600,1965
Germany,Jim ClarkCLA,Lotus Climax,8:24.100,1965
Italy,Jim ClarkCLA,Lotus Climax,1:36.400,1965
United States,Graham HillHIL,BRM,1:11.900,1965
Mexico,Dan GurneyGUR,Brabham Climax,1:55.840,1965
Monaco,Lorenzo BandiniBAN,Ferrari,1:29.800,1966
Belgium,John SurteesSUR,Ferrari,4:18.700,1966
France,Lorenzo BandiniBAN,Ferrari,2:11.300,1966
Great Britain,Jack BrabhamBRA,Brabham Climax,1:37.000,1966
Netherlands,Denny HulmeHUL,Brabham Climax,1:30.600,1966
Germany,John SurteesSUR,Cooper Maserati,8:49.000,1966
Italy,Ludovico ScarfiottiSCA,Ferrari,1:32.400,1966
United States,John SurteesSUR,Cooper Maserati,1:09.670,1966
Mexico,Richie GintherGIN,Honda,1:53.750,1966
South Africa,Denny HulmeHUL,Brabham Repco,1:29.900,1967
Monaco,Jim ClarkCLA,Lotus Climax,1:29.500,1967
Netherlands,Jim ClarkCLA,Lotus Climax,1:28.080,1967
Belgium,Dan GurneyGUR,Eagle Climax,3:31.900,1967
France,Graham HillHIL,Lotus Climax,1:36.700,1967
Great Britain,Denny HulmeHUL,Brabham Repco,1:27.000,1967
Germany,Dan GurneyGUR,Eagle Climax,8:15.100,1967
Canada,Jim ClarkCLA,Lotus Climax,1:23.100,1967
Italy,Jim ClarkCLA,Lotus Climax,1:28.500,1967
United States,Graham HillHIL,Lotus Climax,1:06.000,1967
Mexico,Jim ClarkCLA,Lotus Climax,1:48.130,1967
South Africa,Jim ClarkCLA,Lotus Ford,1:23.700,1968
Spain,Jean-Pierre BeltoiseBEL,Matra Ford,1:28.300,1968
Monaco,Richard AttwoodATT,BRM,1:28.100,1968
Belgium,John SurteesSUR,Honda,3:30.500,1968
Netherlands,Jean-Pierre BeltoiseBEL,Matra Ford,1:45.910,1968
France,Pedro RodriguezROD,BRM,2:11.500,1968
Great Britain,Jo SiffertSIF,Lotus Ford,1:29.700,1968
Germany,Jackie StewartSTE,Matra Ford,9:36.000,1968
Italy,Jackie OliverOLI,Lotus Ford,1:26.500,1968
Canada,Jo SiffertSIF,Lotus Ford,1:35.100,1968
United States,Jackie StewartSTE,Matra Ford,1:05.220,1968
Mexico,Jo SiffertSIF,Lotus Ford,1:44.230,1968
South Africa,Jackie StewartSTE,Matra Ford,1:21.600,1969
Spain,Jochen RindtRIN,Lotus Ford,1:28.300,1969
Monaco,Jackie StewartSTE,Matra Ford,1:25.100,1969
Netherlands,Jackie StewartSTE,Matra Ford,1:22.940,1969
France,Jackie StewartSTE,Matra Ford,3:02.700,1969
Great Britain,Jackie StewartSTE,Matra Ford,1:21.300,1969
Germany,Jacky IckxICK,Brabham Climax,7:43.800,1969
Italy,Jean-Pierre BeltoiseBEL,Matra Ford,1:25.200,1969
Canada,Jacky IckxICK,Brabham Climax,1:18.100,1969
United States,Jochen RindtRIN,Lotus Ford,1:04.340,1969
Mexico,Jacky IckxICK,Brabham Climax,1:43.050,1969
South Africa,John SurteesSUR,McLaren Ford,1:20.800,1970
Spain,Jack BrabhamBRA,Brabham Ford,1:24.300,1970
Monaco,Jochen RindtRIN,Lotus Ford,1:23.200,1970
Belgium,Chris AmonAMO,March Ford,3:27.400,1970
Netherlands,Jacky IckxICK,Ferrari,1:19.230,1970
France,Jack BrabhamBRA,Brabham Ford,3:00.750,1970
Great Britain,Jack BrabhamBRA,Brabham Ford,1:25.900,1970
Germany,Jacky IckxICK,Ferrari,2:00.500,1970
Austria,Jacky IckxICK,Ferrari,1:40.400,1970
Italy,Clay RegazzoniREG,Ferrari,1:25.200,1970
Canada,Clay RegazzoniREG,Ferrari,1:32.200,1970
United States,Jacky IckxICK,Ferrari,1:02.740,1970
Mexico,Jacky IckxICK,Ferrari,1:43.110,1970
South Africa,Mario AndrettiAND,Ferrari,1:20.300,1971
Spain,Jacky IckxICK,Ferrari,1:25.100,1971
Monaco,Jackie StewartSTE,Tyrrell Ford,1:22.200,1971
Netherlands,Jacky IckxICK,Ferrari,1:34.950,1971
France,Jackie StewartSTE,Tyrrell Ford,1:54.090,1971
Great Britain,Jackie StewartSTE,Tyrrell Ford,1:19.900,1971
Germany,Francois Cevert CEV,Tyrrell Ford,7:20.100,1971
Austria,Jo SiffertSIF,BRM,1:38.470,1971
Italy,Henri PescaroloPES,March Ford,1:23.800,1971
Canada,Denny HulmeHUL,McLaren Ford,1:43.500,1971
United States,Jacky IckxICK,Ferrari,1:43.474,1971
Argentina,Jackie StewartSTE,Tyrrell Ford,1:13.660,1972
South Africa,Mike HailwoodHAI,Surtees Ford,1:18.900,1972
Spain,Jacky IckxICK,Ferrari,1:21.010,1972
Monaco,Jean-Pierre BeltoiseBEL,BRM,1:40.000,1972
Belgium,Chris AmonAMO,Matra,1:12.120,1972
France,Chris AmonAMO,Matra,2:53.900,1972
Great Britain,Jackie StewartSTE,Tyrrell Ford,1:24.000,1972
Germany,Jacky IckxICK,Ferrari,7:13.600,1972
Austria,Denny HulmeHUL,McLaren Ford,1:38.320,1972
Italy,Jacky IckxICK,Ferrari,1:36.300,1972
Canada,Jackie StewartSTE,Tyrrell Ford,1:15.700,1972
United States,Jackie StewartSTE,Tyrrell Ford,1:41.644,1972
Argentina,Emerson FittipaldiFIT,Lotus Ford,1:11.220,1973
Brazil,Emerson FittipaldiFIT,Lotus Ford,2:35.000,1973
South Africa,Emerson FittipaldiFIT,Lotus Ford,1:17.100,1973
Spain,Ronnie PetersonPET,Lotus Ford,1:23.800,1973
Belgium,Francois Cevert CEV,Tyrrell Ford,1:25.420,1973
Monaco,Emerson FittipaldiFIT,Lotus Ford,1:28.100,1973
Sweden,Denny HulmeHUL,McLaren Ford,1:26.146,1973
France,Denny HulmeHUL,McLaren Ford,1:50.990,1973
Great Britain,James HuntHUN,March Ford,1:18.600,1973
Netherlands,Ronnie PetersonPET,Lotus Ford,1:20.310,1973
Germany,Carlos PacePAC,Surtees Ford,7:11.400,1973
Austria,Carlos PacePAC,Surtees Ford,1:37.290,1973
Italy,Jackie StewartSTE,Tyrrell Ford,1:35.300,1973
Canada,Emerson FittipaldiFIT,Lotus Ford,1:15.496,1973
United States,James HuntHUN,March Ford,1:41.652,1973
Argentina,Clay RegazzoniREG,Ferrari,1:52.100,1974
Brazil,Clay RegazzoniREG,Ferrari,2:36.050,1974
South Africa,Carlos ReutemannREU,Brabham Ford,1:18.160,1974
Spain,Niki LaudaLAU,Ferrari,1:20.830,1974
Belgium,Denny HulmeHUL,McLaren Ford,1:11.310,1974
Monaco,Ronnie PetersonPET,Lotus Ford,1:27.900,1974
Sweden,Patrick DepaillerDEP,Tyrrell Ford,1:27.262,1974
Netherlands,Ronnie PetersonPET,Lotus Ford,1:21.440,1974
France,Jody ScheckterSCH,Tyrrell Ford,1:00.000,1974
Great Britain,Niki LaudaLAU,Ferrari,1:21.100,1974
Germany,Jody ScheckterSCH,Tyrrell Ford,7:11.100,1974
Austria,Clay RegazzoniREG,Ferrari,1:37.220,1974
Italy,Carlos PacePAC,Brabham Ford,1:34.200,1974
Canada,Niki LaudaLAU,Ferrari,1:13.659,1974
United States,Carlos PacePAC,Brabham Ford,1:40.608,1974
Argentina,James HuntHUN,Hesketh Ford,1:50.910,1975
Brazil,Jean-Pierre JarierJAR,Shadow Matra,2:34.160,1975
South Africa,Carlos PacePAC,Brabham Ford,1:17.200,1975
Spain,Mario AndrettiAND,Parnelli Ford,1:25.100,1975
Monaco,Patrick DepaillerDEP,Tyrrell Ford,1:28.670,1975
Belgium,Clay RegazzoniREG,Ferrari,1:26.760,1975
Sweden,Niki LaudaLAU,Ferrari,1:28.267,1975
Netherlands,Niki LaudaLAU,Ferrari,1:21.540,1975
France,Jochen MassMAS,McLaren Ford,1:50.600,1975
Great Britain,Clay RegazzoniREG,Ferrari,1:20.900,1975
Germany,Clay RegazzoniREG,Ferrari,7:06.400,1975
Austria,Vittorio BrambillaBRA,March Ford,1:53.900,1975
Italy,Clay RegazzoniREG,Ferrari,1:33.100,1975
United States,Emerson FittipaldiFIT,McLaren Ford,1:43.374,1975
Brazil,Jean-Pierre JarierJAR,Shadow Ford,2:35.070,1976
South Africa,Niki LaudaLAU,Ferrari,1:17.970,1976
USA West,Clay RegazzoniREG,Ferrari,1:23.076,1976
Spain,Jochen MassMAS,McLaren Ford,1:20.930,1976
Belgium,Niki LaudaLAU,Ferrari,1:25.980,1976
Monaco,Clay RegazzoniREG,Ferrari,1:30.280,1976
Sweden,Mario AndrettiAND,Lotus Ford,1:28.002,1976
France,Niki LaudaLAU,Ferrari,1:51.000,1976
Great Britain,Niki LaudaLAU,Ferrari,1:19.910,1976
Germany,Jody ScheckterSCH,Tyrrell Ford,7:10.800,1976
Austria,James HuntHUN,McLaren Ford,1:35.910,1976
Netherlands,Clay RegazzoniREG,Ferrari,1:22.590,1976
Italy,Ronnie PetersonPET,March Ford,1:41.300,1976
Canada,Patrick DepaillerDEP,Tyrrell Ford,1:13.817,1976
USA East,James HuntHUN,McLaren Ford,1:42.851,1976
Japan,Jacques LaffiteLAF,Ligier Matra,1:19.970,1976
Argentina,James HuntHUN,McLaren Ford,1:51.060,1977
Brazil,James HuntHUN,McLaren Ford,2:34.550,1977
South Africa,John WatsonWAT,Brabham Alfa Romeo,1:17.630,1977
USA West,Niki LaudaLAU,Ferrari,1:22.753,1977
Spain,Jacques LaffiteLAF,Ligier Matra,1:20.810,1977
Monaco,Jody ScheckterSCH,Wolf Ford,1:31.070,1977
Belgium,Gunnar NilssonNIL,Lotus Ford,1:27.540,1977
Sweden,Mario AndrettiAND,Lotus Ford,1:27.607,1977
France,Mario AndrettiAND,Lotus Ford,1:13.750,1977
Great Britain,James HuntHUN,McLaren Ford,1:19.600,1977
Germany,Niki LaudaLAU,Ferrari,1:55.990,1977
Austria,John WatsonWAT,Brabham Alfa Romeo,1:40.960,1977
Netherlands,Niki LaudaLAU,Ferrari,1:19.990,1977
Italy,Mario AndrettiAND,Lotus Ford,1:39.100,1977
USA East,Ronnie PetersonPET,Tyrrell Ford,1:51.854,1977
Canada,Mario AndrettiAND,Lotus Ford,1:13.299,1977
Japan,Jody ScheckterSCH,Wolf Ford,1:14.300,1977
Argentina,Gilles VilleneuveVIL,Ferrari,1:49.760,1978
Brazil,Carlos ReutemannREU,Ferrari,1:43.070,1978
South Africa,Mario AndrettiAND,Lotus Ford,1:17.090,1978
USA West,Alan JonesJON,Williams Ford,1:22.215,1978
Monaco,Niki LaudaLAU,Brabham Alfa Romeo,1:28.650,1978
Belgium,Ronnie PetersonPET,Lotus Ford,1:23.130,1978
Spain,Mario AndrettiAND,Lotus Ford,1:20.060,1978
Sweden,Niki LaudaLAU,Brabham Alfa Romeo,1:24.836,1978
France,Carlos ReutemannREU,Ferrari,1:48.560,1978
Great Britain,Niki LaudaLAU,Brabham Alfa Romeo,1:18.600,1978
Germany,Ronnie PetersonPET,Lotus Ford,1:55.620,1978
Austria,Ronnie PetersonPET,Lotus Ford,1:43.120,1978
Netherlands,Niki LaudaLAU,Brabham Alfa Romeo,1:19.570,1978
Italy,Mario AndrettiAND,Lotus Ford,1:38.230,1978
USA East,Jean-Pierre JarierJAR,Lotus Ford,1:39.557,1978
Canada,Alan JonesJON,Williams Ford,1:38.072,1978
Argentina,Jacques LaffiteLAF,Ligier Ford,1:46.910,1979
Brazil,Jacques LaffiteLAF,Ligier Ford,2:28.760,1979
South Africa,Gilles VilleneuveVIL,Ferrari,1:14.412,1979
USA West,Gilles VilleneuveVIL,Ferrari,1:21.200,1979
Spain,Gilles VilleneuveVIL,Ferrari,1:16.440,1979
Belgium,Gilles VilleneuveVIL,Ferrari,1:23.090,1979
Monaco,Patrick DepaillerDEP,Ligier Ford,1:28.820,1979
France,Rene ArnouxARN,Renault,1:09.160,1979
Great Britain,Clay RegazzoniREG,Williams Ford,1:14.400,1979
Germany,Gilles VilleneuveVIL,Ferrari,1:51.890,1979
Austria,Rene ArnouxARN,Renault,1:35.770,1979
Netherlands,Gilles VilleneuveVIL,Ferrari,1:19.438,1979
Italy,Clay RegazzoniREG,Williams Ford,1:35.600,1979
Canada,Alan JonesJON,Williams Ford,1:31.272,1979
USA East,Nelson PiquetPIQ,Brabham Ford,1:40.054,1979
Argentina,Alan JonesJON,Williams Ford,1:50.450,1980
Brazil,Rene ArnouxARN,Renault,2:27.310,1980
South Africa,Rene ArnouxARN,Renault,1:13.150,1980
USA West,Nelson PiquetPIQ,Brabham Ford,1:19.830,1980
Belgium,Jacques LaffiteLAF,Ligier Ford,1:20.880,1980
Monaco,Carlos ReutemannREU,Williams Ford,1:27.418,1980
France,Alan JonesJON,Williams Ford,1:41.450,1980
Great Britain,Didier PironiPIR,Ligier Ford,1:12.368,1980
Germany,Alan JonesJON,Williams Ford,1:48.490,1980
Austria,Rene ArnouxARN,Renault,1:32.530,1980
Netherlands,Rene ArnouxARN,Renault,1:19.350,1980
Italy,Alan JonesJON,Williams Ford,1:36.089,1980
Canada,Didier PironiPIR,Ligier Ford,1:28.769,1980
USA East,Alan JonesJON,Williams Ford,1:34.068,1980
USA West,Alan JonesJON,Williams Ford,1:20.901,1981
Brazil,Marc SurerSUR,Ensign Ford,1:54.302,1981
Argentina,Nelson PiquetPIQ,Brabham Ford,1:45.287,1981
San Marino,Gilles VilleneuveVIL,Ferrari,1:48.064,1981
Belgium,Carlos ReutemannREU,Williams Ford,1:23.300,1981
Monaco,Alan JonesJON,Williams Ford,1:27.470,1981
Spain,Alan JonesJON,Williams Ford,1:17.818,1981
France,Alain ProstPRO,Renault,1:09.140,1981
Great Britain,Rene ArnouxARN,Renault,1:15.067,1981
Germany,Alan JonesJON,Williams Ford,1:52.420,1981
Austria,Jacques LaffiteLAF,Ligier Matra,1:37.620,1981
Netherlands,Alan JonesJON,Williams Ford,1:21.830,1981
Italy,Carlos ReutemannREU,Williams Ford,1:37.528,1981
Canada,John WatsonWAT,McLaren Ford,1:49.475,1981
Caesar's Palace,Didier PironiPIR,Ferrari,1:20.156,1981
South Africa,Alain ProstPRO,Renault,1:08.278,1982
Brazil,Alain ProstPRO,Renault,1:37.016,1982
USA West,Niki LaudaLAU,McLaren Ford,1:30.831,1982
San Marino,Didier PironiPIR,Ferrari,1:35.036,1982
Belgium,John WatsonWAT,McLaren Ford,1:20.214,1982
Monaco,Riccardo PatresePAT,Brabham Ford,1:26.354,1982
Detroit,Alain ProstPRO,Renault,1:50.438,1982
Canada,Didier PironiPIR,Ferrari,1:28.323,1982
Netherlands,Derek WarwickWAR,Toleman Hart,1:19.780,1982
Great Britain,Brian HentonHEN,Tyrrell Ford,1:13.028,1982
France,Riccardo PatresePAT,Brabham Ford,1:40.075,1982
Germany,Nelson PiquetPIQ,Brabham Ford,1:54.035,1982
Austria,Nelson PiquetPIQ,Brabham Ford,1:33.699,1982
Switzerland,Alain ProstPRO,Renault,1:07.477,1982
Italy,Rene ArnouxARN,Renault,1:33.619,1982
Caesar's Palace,Michele AlboretoALB,Tyrrell Ford,1:19.639,1982
Brazil,Nelson PiquetPIQ,Brabham BMW,1:39.829,1983
USA West,Niki LaudaLAU,McLaren TAG,1:28.330,1983
France,Alain ProstPRO,Renault,1:42.695,1983
San Marino,Riccardo PatresePAT,Brabham BMW,1:34.437,1983
Monaco,Nelson PiquetPIQ,Brabham BMW,1:27.283,1983
Belgium,Andrea de CesarisDEC,Alfa Romeo,2:07.493,1983
Detroit,John WatsonWAT,McLaren TAG,1:47.668,1983
Canada,Patrick TambayTAM,Ferrari,1:30.851,1983
Great Britain,Alain ProstPRO,Renault,1:14.212,1983
Germany,Rene ArnouxARN,Ferrari,1:53.938,1983
Austria,Alain ProstPRO,Renault,1:33.961,1983
Netherlands,Rene ArnouxARN,Ferrari,1:19.863,1983
Italy,Nelson PiquetPIQ,Brabham BMW,1:34.431,1983
Europe,Nigel MansellMAN,Lotus Ford,1:14.342,1983
South Africa,Nelson PiquetPIQ,Brabham BMW,1:09.948,1983
Brazil,Alain ProstPRO,McLaren TAG,1:36.499,1984
South Africa,Patrick TambayTAM,Renault,1:08.877,1984
